YTP 15.90 0.5 P
H17 16.52 0.75 P
MCID 16.31 1 P
# 2010 08 17 00 21 21.16 43.5998333333333 -110.428333333333   3.6 0.00  9.0  2.5 0.12 57
LOHW 3.489 1 P
REDW 8.460 1 P
IMW 9.680 1 P
FLWY 10.86 0.5 P
YPP 14.71 0.5 P
B944 15.92 1 P
YTP 15.73 0.75 P
MCID 15.96 0.5 P
# 2010 08 17 00 35 21.70 43.6081666666667 -110.433333333333   4.7 0.00  9.8  5.7 0.10 58
LOHW 3.390 1 P
REDW 8.410 1 P
IMW 9.540 1 P
FLWY 10.51 1 P
YPP 14.37 1 P
MCID 15.89 0.5 P
H17 15.71 0.5 P
ECR 17.21 0.5 P
# 2010 08 17 03 48 59.06 43.6081666666667 -110.426666666667   4.4 0.00 10.4  2.7 0.13 59
LOHW 3.459 1 P
REDW 8.489 0.75 P
IMW 9.659 1 P
FLWY 10.67 1 P
YPP 14.56 1 P
B944 15.83 0.5 P
YTP 15.70 0.75 P
MCID 15.72 0.5 P
YLT 16.22 0.75 P
YFT 17.5 0.5 P
# 2010 08 17 05 47 20.79 43.617 -110.453333333333   4.3 0.00  5.6  2.6 0.20 60
LOHW 3.149 0.75 P
REDW 8.179 1 P
IMW 9.359 1 P
FLWY 10.38 1 P
YPP 14.22 1 P
B944 15.51 0.75 P
MCID 14.87 0.5 P
H17 15.55 0.75 P
YTP 15.38 0.75 P
YLT 16.64 0.5 P
ECR 17.40 0.75 P
YFT 17.61 0.5 P
# 2010 09 04 15 39  3.37 43.6151666666667 -110.465   9.5 0.00  6.7  5.0 0.26 61
LOHW 3.200 1 P
REDW 8.190 0.75 P
IMW 9.460 1 P
FLWY 10.57 0.75 P
YPP 13.63 0.5 P
MCID 14.77 0.75 P
YTP 15.61 0.25 P
YLT 16.03 0.25 P
# 2010 08 17 09 22 17.54 43.5915 -110.413333333333   0.0 0.00  7.3  2.1 0.12 62
LOHW 4.050 0.75 P
REDW 9.040 1 P
IMW 10.43 0.75 P
FLWY 11.40 1 P
YPP 15.25 1 P
B944 16.45 0.5 P
YTP 16.39 1 P
H17 16.58 1 P
MCID 16.70 1 P
YLT 17.52 1 P
ECR 17.78 1 P
YFT 18.68 1 P
# 2010 08 17 17 40 49.70 43.5986666666667 -110.465   2.8 0.00  7.1  8.9 0.09 63
LOHW 2.959 0.75 P
REDW 8.120 0.75 P
IMW 9.5 0.75 P
FLWY 10.64 0.5 P
YPP 14.53 0.5 P
MCID 15.78 0.75 P
# 2010 08 19 00 34 45.47 43.6081666666667 -110.443333333333   3.9 0.00 10.2  9.4 0.11 64
LOHW 3.25 0.75 P
REDW 8.350 1 P
IMW 9.489 0.75 P
FLWY 10.48 0.75 P
YPP 14.40 0.5 P
MCID 15.85 0.5 P
# 2010 08 21 06 47  2.13 43.6056666666667 -110.41   0.5 0.00  9.9  5.4 0.15 65
LOHW 3.990 0.75 P
REDW 9.070 0.75 P
IMW 10.18 1 P
FLWY 11.14 0.75 P
YPP 14.98 0.5 P
H17 16.25 0.75 P
MCID 16.61 1 P
YLT 17.21 0.25 P
# 2010 08 21 13 36 19.59 43.5986666666667 -110.478333333333   5.0 0.00  6.5  6.0 0.16 66
LOHW 2.829 0.75 P
REDW 7.829 0.75 P
IMW 9.209 1 P
FLWY 10.25 0.75 P
YPP 14.23 0.75 P
MCID 15.55 0.75 P
YLT 16.86 0.5 P
# 2010 08 22 12 34 36.52 43.6056666666667 -110.433333333333   5.0 0.00 10.7  3.3 0.07 67
LOHW 3.429 0.75 P
REDW 8.369 1 P
IMW 9.600 1 P
FLWY 10.58 1 P
YPP 14.44 1 P
B944 15.67 0.75 P
YTP 15.62 0.75 P
H17 15.84 0.5 P
YLT 16.72 0.25 P
# 2010 08 19 06 22 11.79 43.5986666666667 -110.443333333333   2.6 0.00  7.2  2.7 0.14 68
LOHW 3.310 0.75 P
REDW 8.369 1 P
